 1  1 6.51  5.50 10.88  8.15 12.7486 13.3310     0  1   8 15
 2  1 5.79  5.14  7.94  9.36 16.0917 38.2959     1  1   9 18
 3  1 6.50  9.52 10.30 10.89 23.1507 58.0373     0  0   4 20
 4  1 5.62  4.74 11.92  8.29 10.1253 27.0939     0  1  11 12
 5  1 5.02 11.69 11.15 10.84 31.0258 38.1073     0  0   7 16
 6  1 7.91  6.73 10.79  8.98 18.9569 62.3312     1  0  12 18
 7  1 5.95  6.62  9.27  4.22 10.7906 19.4367     0  1  18 19
 8  1 5.39  7.37  9.68  7.40 15.1091 42.7934     1  1   6  8
 9  1 5.40  7.51 11.04  9.65 19.7495 20.3610     0  0   3 13
10  1 5.69  7.02  8.16  8.37 20.1042 47.1955     1  1  12 13
11  1 5.86  9.44 12.45 11.53 23.7864 77.2897     0  1   2 17
12  1 4.20  7.65 11.90  9.22 15.7544 47.4412     0  0   7 17
13  1 5.60  9.74 11.19 10.28 26.1592 54.4599     0  0   6 12
14  1 5.78 10.85  9.57  6.81 21.0509 63.3644     0  0  14 21
15  1 6.46  7.02 10.28 10.96 18.2019 35.9001     1  0   7  8
16  1 6.15  7.08  9.68 11.25 23.5453 54.2558     1  1   9 11
17  1 6.09  8.10 12.71  5.57 14.1164 42.8013     0  0   5  8
18  1 5.40 10.02 10.74  6.72 24.5060 73.1339     1  0   5  8
19  1 5.06  7.06 11.24 11.19 20.0030 56.3624     0  1   2  3
20  1 7.15  8.83 10.91 13.44 24.5678 63.6888     1  0   3 16
21  2 4.98  7.55  8.12  7.94 20.4092 22.2223     1  0   1  5
22  2 5.82  9.24 10.56 10.58 23.9136 67.3002     0  1   7 10
23  2 5.44  7.94 11.38  7.96 19.4152 54.4229     0  1   1  4
24  2 5.03 10.10 11.21 11.92 27.1123 55.9647     0  0   7 19
25  2 4.17  8.01 11.93 11.05 19.1262 40.0618     0  0   1  3
26  2 5.98  8.51  8.60  4.65 14.8139 48.8777     0  1   4  5
27  2 5.30  6.42  9.97  6.32 11.9670 17.8510     1  1  10 20
28  2 5.84  7.97  8.06  4.57 14.5825 25.4836     1  0  11 18
29  2 5.68  5.65 11.46  8.68 10.9858 17.5909     1  1  13 16
30  2 5.31  8.56 11.49 10.38 22.9799 58.1542     0  0   4 14
31  2 5.58  9.85  9.02 10.63 28.7852 50.1319     0  1   1  2
32  2 7.35  8.03 10.61  8.85 20.9501 36.5740     0  0   5 19
33  2 6.03  8.06 11.42  4.21  9.0616 10.4197     1  1  17 18
34  2 6.42  7.88  8.97  5.50 15.4275 33.6922     0  1   2  7
35  2 6.17  8.70 11.49  8.98 20.5906 26.0520     0  0   1  4
36  2 5.64  7.18 11.86  6.19 12.6231 37.2157     0  1  17 20
37  2 5.22  6.71 11.00 10.42 18.8607 58.7821     1  1   1  9
38  2 5.46  6.49  9.40 10.35 19.5489 32.1652     0  1   3 11
39  2 6.94  5.73 11.28  5.94 10.2297 27.4381     0  1  14 21
40  2 6.02  8.71  9.36  5.76 19.3459 51.1408     1  0   1  2
41  3 4.37  9.51  7.97 11.35 25.6870 28.9383     0  1  12 21
42  3 5.81  8.66 10.18  5.43 16.7869 21.1150     0  0   1  3
43  3 5.60  7.58 10.67 11.86 22.6276 31.0977     0  1   9 17
44  3 7.30  7.36  9.97  6.69 15.7675 38.7466     0  1   3  4
45  3 6.44  7.05 10.28  8.79 13.9956 25.6598     0  1   1 12
46  3 5.81  7.00 10.22 13.73 25.8894 72.3490     0  0   2  8
47  3 4.19  8.08 10.06  8.87 19.4243 47.5117     0  0   7 10
48  3 5.67  5.53 11.00  9.90 12.8368 22.5778     1  1  10 14
49  3 5.96  8.59  9.23 11.97 28.2018 62.4045     0  0   3 20
50  3 4.96  5.44  9.48  8.07 12.5350 21.4700     0  1   6  7
51  3 5.31  7.50 11.71  9.19 16.5173 35.9251     0  0   4  6
52  3 5.28  8.18 10.03  3.49 12.0416 14.1134     1  1  11 12
53  3 4.70  4.61 11.88 10.37 13.5062 27.7372     1  1   1  4
54  3 6.51  9.11 11.52  7.32 21.5692 59.4417     0  0   6 16
