"UK alcohol consumption data."
year  cons    income   price
 1 1.9565  1.7669  1.9176
 2 2.0120  1.7764  1.8798
 3 2.0449  1.7942  1.8727
 4 2.0561  1.8156  1.8984
 5 2.0678  1.8083  1.9137
 6 2.0561  1.8083  1.9176
 7 2.0428  1.8067  1.9176
 8 2.0290  1.8166  1.9420
 9 1.9980  1.8041  1.9547
10 1.9884  1.8053  1.9379
11 1.9835  1.8242  1.9462
12 1.9773  1.8395  1.9504
13 1.9748  1.8464  1.9504
14 1.9629  1.8492  1.9723
15 1.9396  1.8668  2.000
16 1.9309  1.8783  2.0097
17 1.9271  1.8914  2.0146
18 1.9239  1.9166  2.0146
19 1.9414  1.9363  2.0097
20 1.9685  1.9548  2.0097
21 1.9727  1.9453  2.0097
22 1.9736  1.9292  2.0048
23 1.9499  1.9209  2.0097
24 1.9432  1.9510  2.0296
25 1.9569  1.9776  2.0399
26 1.9647  1.9814  2.0399
27 1.9710  1.9819  2.0296
28 1.9719  1.9828  2.0146
29 1.9956  2.0076  2.0245
30 2.0000  2.0000  2.0000
31 1.9904  1.9939  2.0048
32 1.9752  1.9933  2.0048
33 1.9494  1.9797  2.0000
34 1.9332  1.9772  1.9952
35 1.9139  1.9924  1.9952
36 1.9091  2.0117  1.9905
37 1.9139  2.0204  1.9813
38 1.8886  2.0018  1.9905
39 1.7945  2.0038  1.9859
40 1.7644  2.0099  2.0518
41 1.7817  2.0174  2.0474
42 1.7784  2.0279  2.0341
43 1.7945  2.0359  2.0255
44 1.7888  2.0216  2.0341
45 1.8751  1.9896  1.9445
46 1.7853  1.9843  1.9939
47 1.6075  1.9764  2.2082
48 1.5185  1.9965  2.27  
49 1.6513  2.0652  2.243
50 1.6247  2.0369  2.2567
51 1.5391  1.9723  2.2988
52 1.4922  1.9797  2.3723
53 1.4606  2.0136  2.4105
54 1.4551  2.0165  2.4081
55 1.4425  2.0213  2.4081
56 1.4023  2.0206  2.4367
57 1.3991  2.0563  2.4284
58 1.3798  2.0579  2.4310
59 1.3782  2.0649  2.4363
60 1.3366  2.0582  2.4552
61 1.3026  2.0517  2.4838
62 1.2592  2.0491  2.4958
63 1.2635  2.0766  2.5048
64 1.2549  2.089   2.5017
65 1.2527  2.1059  2.4958
66 1.2763  2.1205  2.4838
67 1.2906  2.1205  2.4636

