"Quarterly nominal wage rates in dollars per hour,
1968-1977. From Pindyck and Rubinfeld, 2nd Ed. p465."
Quarter Wage
68     3.687
68.25  2.753
68.5   3.837
68.75  3.882
69     3.934 
69.25  2.993
69.5   4.085
69.75  4.187
70     4.273
70.25  4.327
70.5   4.42
70.75  4.457
71     4.562
71.25  4.61
71.5   4.717
71.75  4.725
72     4.809
72.25  4.87
72.5   4.92
72.75  5.025
73     5.114
73.25  5.172
73.5   5.245
73.75  5.36
74     5.457
74.25  5.584
74.5   5.731
74.75  5.904
75     6.105
75.25  6.207
75.5   6.283
75.75  6.381
76     6.539
76.25  6.66
76.5   6.798
76.75  6.924
77     7.077
77.25  7.133
77.5   6.277
77.75  7.413
