 51 27 1 4 6 3
 113 55 0 7 15 4
 103 71 0 10 16 7
 54 51 0 1 13 2
 70 46 1 5 23 10
 68 59 0 2 26 4
 76 51 0 29 27 6
 96 69 0 38 25 5
 84 65 0 51 17 4
 169 81 1 44 30 5
 120 75 4 39 23 9
 117 78 0 27 29 5
 87 43 5 38 37 6
 142 68 0 54 32 7
 106 66 2 78 36 4
 135 67 3 60 30 6
 88 94 0 60 41 11
 89 96 0 51 27 3
 92 64 8 50 26 7
 151 48 2 22 40 10
 90 8 9 44 25 6
 88 57 1 33 17 5
 145 85 9 49 33 11
 135 67 2 53 28 7
 190 100 7 53 13 12
 205 101 2 1 1 8
 127 83 11 0 0 5
 176 108 3 0 2 5
 182 102 9 2 0 7
 229 120 0 2 0 1
 184 141 0 0 0 16
 175 76 0 0 7 1
 188 101 0 56 29 13
 207 121 0 67 31 1
 172 112 0 48 19 1
