  2.26  3.26
  3.28  2.64
  2.80  2.15
  0.95  1.69
  0.12  0.51
  0.13  0.27
  0.39  0.16
  0.24  0.31
  0.30  0.39
  0.22  0.40
  0.18  0.42
  0.26  0.42
  0.55  0.30
  0.12  0.25
  0.44  0.32
  0.14  0.57
  0.50  0.61
  0.82  0.64
  0.51  0.69
  0.73  0.65
  0.36  0.46
  0.16  0.42
  0.10  0.47
  0.47  0.49
  0.52  0.60
  0.29  0.66
  0.98  0.94
  2.14  1.44
  1.31  1.85
  1.97  2.22
  4.18  2.84
  3.30  2.72
  1.77  2.20
  0.68  1.73
  0.13  1.26
  0.54  0.65
  0.56  0.61
  0.38  0.69
  1.15  0.90
  1.55  0.94
  0.24  0.87
  0.18  0.77
  0.09  0.66
  0.16  0.47
  0.09  0.67
  0.83  1.02
  0.56  1.71
  0.31  2.88
  0.95  3.50
  1.08  4.15
  4.65  2.84
  1.64  2.32
  3.33  1.89
  0.66  1.51
  0.17  0.56
  0.06  0.28
  0.12  0.17
  0.16  0.30
  0.55  0.36
  0.56  0.37
  0.83  0.38
  0.35  0.37
  0.32  0.27
  0.11  0.23
  0.48  0.27
  0.16  0.47
  0.19  0.50
  0.23  0.52
  0.17  0.55
  0.21  0.52
  0.09  0.39
  0.14  0.36
  0.19  0.42
  0.45  0.48
  0.88  0.61
  1.15  0.77
  0.89  1.01
  0.87  1.43
  1.94  1.78
  2.49  2.08
  4.70  2.51
  4.22  2.46
  1.85  2.04
  1.12  1.65
  0.15  1.27
  0.24  0.72
  0.22  0.63
  0.23  0.69
  0.77  0.83
  0.84  0.88
  0.23  0.85
  0.11  0.80
  0.15  0.68
  0.03  0.56
  0.04  0.70
  0.17  1.15
  0.90  1.82
  4.57  3.41
  3.49  4.14
  2.35  5.03
  1.63  2.65
  2.17  2.18
  1.14  1.83
  0.56  1.50
  0.17  0.66
  0.05  0.37
  0.17  0.29
  0.20  0.34
  0.22  0.36
  0.19  0.34
  0.64  0.35
  0.05  0.31
  0.19  0.23
  0.16  0.22
  0.22  0.25
  0.19  0.41
  0.09  0.44
  0.21  0.45
  0.12  0.47
  0.06  0.45
  0.10  0.34
  0.25  0.34
  0.08  0.49
  0.12  0.58
  0.68  0.71
  0.80  0.91
  0.75  1.12
  1.94  1.44
  6.61  1.70
  3.20  1.93
  5.25  2.27
  6.45  2.23
  1.05  1.85
  2.49  1.51
  0.11  1.21
  0.01  0.71
  0.20  0.62
  0.24  0.66
  0.15  0.80
  0.70  0.87
  0.72  0.90
  0.33  0.88
  0.27  0.78
  0.16  0.65
  0.04  0.73
  0.50  1.13
  0.88  1.70
  1.42  3.05
  4.66  3.69
  2.83  4.48
  1.34  3.07
  7.14  2.61
  4.02  2.27
  0.21  1.96
  0.22  0.98
  0.46  0.69
  0.27  0.54
  0.22  0.44
  0.23  0.37
  0.37  0.33
  0.14  0.31
  0.12  0.24
  0.02  0.19
  0.19  0.18
  0.11  0.17
  0.10  0.21
  0.15  0.22
  0.09  0.21
  0.12  0.20
  0.06  0.22
  0.08  0.26
  0.10  0.30
  0.03  0.55
  0.09  0.72
  0.32  0.84
  1.42  1.03
  1.04  1.15
  1.91  1.21
  2.80  1.40
  6.01  1.53
  2.14  1.66
  2.37  1.68
  0.47  1.48
  0.46  1.19
  0.13  0.99
  0.33  0.67
  0.19  0.57
  0.21  0.58
  0.42  0.68
  0.71  0.76
  0.25  0.85
  0.42  0.91
  0.40  0.89
  0.22  0.84
  0.07  0.85
  0.55  1.15
  0.35  1.65
  0.66  2.83
  1.08  3.35
  1.68  4.13
  0.94  4.02
  4.57  3.72
  4.30  3.37
  2.59  2.64
  0.95  1.75
  0.83  1.34
  0.17  0.92
  0.28  0.57
  0.27  0.45
  0.32  0.39
  0.49  0.32
  0.05  0.21
  0.09  0.18
  0.08  0.16
  0.09  0.16
  0.08  0.18
  0.03  0.19
  0.03  0.20
  0.15  0.19
  0.09  0.21
  0.05  0.28
  0.22  0.35
  0.19  0.62
  0.16  0.87
  0.32  1.12
  1.81  1.37
  1.69  1.63
  2.52  1.81
  1.61  2.13
  4.20  2.22
  5.51  2.22
  3.52  2.03
  0.41  1.69
  0.50  1.19
  0.26  0.89
  0.02  0.60
  0.09  0.49
  0.14  0.49
  0.26  0.56
  0.22  0.66
  0.18  0.83
  0.09  1.04
  2.06  1.14
  0.33  1.14
  0.80  1.13
  1.51  1.38
  0.34  1.69
  0.47  2.71
  3.32  3.17
 11.24  3.91
  1.41  6.32
  1.97  6.72
  4.37  5.93
  1.21  4.53
  0.72  3.53
  3.68  2.82
  0.75  1.38
  0.48  0.87
  0.30  0.64
  0.45  0.46
  0.65  0.35
  0.23  0.24
  0.14  0.23
  0.09  0.21
  0.10  0.19
  0.09  0.19
  0.01  0.19
  0.09  0.19
  0.28  0.18
  0.33  0.21
  0.18  0.30
  0.19  0.59
  0.26  0.98
  0.70  1.31
  2.29  1.78
  3.10  2.08
  2.12  2.27
  0.84  2.32
  4.61  2.48
  4.83  2.41
  9.14  2.24
  2.63  1.88
  0.77  1.54
  0.57  1.12
  0.16  0.76
  0.02  0.55
  0.08  0.41
  0.04  0.38
  0.08  0.40
  0.39  0.56
  0.68  0.82
  0.78  1.12
  1.65  1.31
  0.58  1.44
  1.46  1.48
  1.33  1.71
  0.72  1.79
  0.68  2.45
  0.93  2.76
  2.72  3.16
 54.39 12.13
  7.45 11.41
  4.91  9.78
  2.77  5.94
  6.70  4.31
  1.56  3.33
  2.95  1.63
  1.60  1.03
  0.85  0.79
  0.20  0.58
  0.50  0.41
  0.24  0.31
  0.19  0.29
  0.16  0.23
  0.36  0.21
  0.60  0.21
  0.18  0.21
  0.27  0.21
  0.34  0.23
  0.17  0.31
  0.57  0.45
  0.56  0.82
  0.32  1.39
  1.50  1.74
  0.93  2.15
  1.15  2.32
  1.35  2.48
  3.09  2.35
  2.14  2.42
  2.72  2.37
  5.27  2.27
 14.63  1.84
  1.41  1.46
  1.80  1.06
  0.12  0.64
  0.21  0.46
  0.23  0.32
  0.04  0.29
  0.10  0.34
  0.33  0.54
  0.25  0.81
  0.96  1.10
  0.89  1.41
  2.01  1.56
  3.68  1.64
  1.89  1.89
  1.68  2.00
  1.09  2.21
