4   98   3.05  145.2   3.39  "Japn"   "Honda_Accord_LX"
4   98   2.97  153.2   2.85  "Japn"   "Dodge_Colt"
4   91   3.10  147.0   2.68  "Ital"   "Fiat_Strada"
4  105   3.37  154.0   2.92  "U.S."   "Plymouth_Horizon"
4   86   3.73  128.4   2.93  "Japn"   "Mazda_GLC"
4   85   3.70  131.3   3.14  "Japn"   "Datsun_210"
4  105   3.37  167.3   3.24  "U.S."   "Dodge_Omni"
4  151   2.53  240.3   3.52  "U.S."   "Buick_Skylark"
4  151   2.69  230.0   2.99  "U.S."   "Pontiac_Phoenix"
4   89   3.78  136.7   3.13  "Germ"   "VW_Rabbit"
4   98   3.70  146.5   3.33  "U.S."   "Chevette"
4   89   3.78  141.3   3.17  "Germ"   "VW_Scirocco"
4  121   3.08  213.6   3.65  "U.S."   "AMC_Spirit"
4   97   3.70  170.8   3.28  "Germ"   "VW_Dasher"
4  140   3.08  227.5   3.77  "U.S."    "Ford_Mustang_4"
4  134   3.05  243.2   3.64  "Japn"   "Toyota_Corona"
4  119   3.54  223.1   3.68  "Japn"   "Datsun_510"
6  200   3.08  260.9   4.81  "U.S."   "Mercury_Zephyr"
6  173   2.69  298.4   3.47  "U.S."   "Chevy_Citation"
6  173   2.84  310.5   3.73  "U.S."   "Olds_Omega"
4  121   3.64  286.0   4.65  "Germ"   "BMW_320i"
6  171   3.08  317.2   4.57  "U.S."   "Ford_Mustang_Ghia"
6  231   2.73  354.9   4.85  "U.S."   "Buick_Century_Spec"
6  146   3.70  273.1   4.55  "Japn"   "Datsun_810"
4  121   3.77  321.4   4.63  "Swed"   "Saab_99_GLE"
5  131   3.90  291.5   4.93  "Germ"   "Audi_5000"
6  225   2.71  398.2   5.38  "U.S."   "Dodge_Aspen"
6  258   2.73  409.2   5.52  "U.S."   "AMC_Concord_D/L"
6  163   3.50  392.5   5.88  "Swed"   "Volvo_240_GL"
8  267   2.56  450.6   5.21  "U.S."   "Chevy_Malibu_Wagon"
8  302   2.26  480.5   5.68  "U.S."   "Ford_LTD"
8  305   2.41  499.2   5.88  "U.S."   "Chevy_Caprice_Clas"
6  163   3.58  453.5   6.17  "Fran"   "Peugeot_694_SL"
8  318   2.45  517.0   5.49  "U.S."   "Dodge_St_Regis"
8  351   2.26  545.8   6.06  "U.S."   "Mercury_Grand_Marq"
8  351   2.26  575.7   6.45  "U.S."   "Ford_Country_Squir"
8  360   2.45  591.0   5.41  "U.S."   "Chrysler_LeBaron_W"
8  350   2.73  675.8   5.92  "U.S."   "Buick_Estate_Wagon"
